"","x"
"1",0
"2",2
"3",-1
"4",3
"5",2
"6",6
"7",8
"8",8
"9",-1
"10",5
"11",3
"12",2
"13",2
"14",6
"15",2
"16",4
"17",3
"18",4
"19",2
"20",4
"21",3
"22",7
"23",7
"24",7
"25",5
"26",7
"27",4
"28",5
"29",2
"30",2
"31",12
"32",3
"33",3
"34",8
"35",4
"36",2
"37",-2
"38",8
"39",10
"40",13
"41",3
"42",1
"43",0
"44",3
"45",-1
"46",1
"47",0
"48",1
"49",5
"50",0
"51",5
"52",2
"53",5
"54",5
"55",7
"56",5
"57",3
"58",4
"59",-4
"60",8
"61",2
"62",16
"63",2
"64",2
"65",3
"66",5
"67",3
"68",6
"69",-6
"70",-1
"71",4
"72",6
"73",0
"74",4
"75",2
"76",5
"77",6
"78",1
"79",16
"80",1
"81",5
"82",3
"83",-1
"84",-2
"85",4
"86",0
"87",2
"88",-5
"89",0
"90",-3
"91",2
"92",2
"93",0
"94",6
"95",1
"96",8
"97",3
"98",10
"99",2
"100",7
"101",2
"102",0
