"","x"
"1",6
"2",6
"3",1
"4",1
"5",1
"6",1
"7",1
"8",0
"9",3
"10",5
"11",3
"12",5
"13",4
"14",7
"15",8
"16",8
"17",2
"18",2
"19",1
"20",0
"21",1
"22",2
"23",3
"24",11
"25",12
"26",13
"27",12
"28",1
"29",14
"30",8
"31",9
"32",9
"33",1
"34",1
"35",1
"36",2
"37",2
"38",1
"39",0
"40",1
"41",2
"42",1
"43",1
"44",0
"45",15
"46",2
"47",2
"48",2
"49",1
"50",1
"51",7
"52",2
"53",1
"54",2
"55",0
"56",6
"57",1
"58",1
"59",10
"60",0
"61",1
"62",3
"63",0
"64",7
"65",2
"66",4
"67",1
"68",7
"69",1
"70",0
"71",0
"72",8
"73",0
"74",0
"75",1
"76",0
"77",0
"78",0
"79",1
"80",1
"81",0
"82",2
"83",1
"84",6
"85",2
"86",12
"87",2
"88",2
"89",1
"90",0
"91",6
"92",2
"93",13
"94",9
"95",1
"96",1
"97",2
"98",1
"99",1
"100",1
"101",15
"102",2
"103",1
"104",1
"105",9
"106",3
"107",2
"108",2
"109",5
"110",1
"111",13
"112",7
"113",10
"114",1
"115",1
"116",1
"117",0
"118",14
"119",13
"120",1
"121",1
"122",1
"123",1
"124",1
"125",0
"126",0
"127",1
"128",2
"129",2
"130",1
"131",1
"132",1
"133",3
"134",3
"135",1
"136",5
"137",12
"138",3
"139",1
"140",4
"141",6
"142",8
"143",3
"144",4
"145",2
"146",5
"147",18
"148",3
"149",4
"150",3
"151",2
"152",3
"153",7
"154",18
"155",4
"156",2
"157",3
"158",23
"159",16
"160",12
"161",2
"162",11
"163",16
"164",13
"165",1
"166",4
"167",0
"168",2
"169",2
"170",1
"171",1
"172",2
"173",-1
"174",0
"175",1
"176",1
"177",1
"178",1
"179",-1
"180",2
"181",2
"182",3
"183",2
"184",2
"185",3
"186",2
"187",1
"188",2
"189",2
"190",2
"191",3
"192",3
"193",4
"194",8
"195",2
"196",1
"197",1
"198",1
"199",10
"200",2
"201",6
"202",2
"203",2
"204",14
"205",3
"206",3
"207",0
"208",1
"209",0
"210",1
"211",4
"212",6
"213",1
"214",1
"215",3
"216",1
"217",1
"218",2
"219",1
"220",9
"221",9
"222",0
"223",0
"224",0
"225",6
"226",13
"227",6
"228",4
"229",5
"230",4
"231",14
"232",8
"233",15
"234",6
"235",5
"236",8
"237",14
"238",5
"239",5
"240",7
"241",2
"242",5
"243",5
"244",5
"245",12
"246",5
"247",8
"248",7
"249",8
"250",5
"251",13
"252",1
"253",1
"254",1
"255",3
"256",2
"257",3
"258",3
"259",3
"260",1
"261",1
"262",1
"263",2
"264",3
"265",9
"266",7
"267",1
"268",1
"269",4
"270",1
"271",14
"272",3
"273",0
"274",1
"275",4
"276",14
"277",8
"278",13
"279",14
"280",6
"281",1
"282",1
"283",8
"284",1
"285",1
"286",4
"287",1
"288",1
"289",3
"290",2
"291",16
"292",1
"293",0
"294",0
"295",0
"296",0
"297",3
"298",3
"299",1
"300",2
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",1
"308",0
"309",1
"310",1
"311",14
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",2
"320",2
"321",2
"322",1
"323",0
"324",1
"325",2
"326",2
"327",2
"328",2
"329",1
"330",2
"331",1
"332",1
"333",2
"334",1
"335",3
"336",1
"337",1
"338",2
"339",1
"340",1
"341",3
"342",1
"343",6
"344",10
"345",1
"346",1
"347",13
"348",1
"349",1
"350",1
"351",0
"352",1
"353",4
"354",4
"355",16
"356",1
"357",11
"358",7
"359",7
"360",6
"361",12
"362",14
"363",2
"364",14
"365",1
"366",4
"367",1
"368",11
"369",6
"370",7
"371",14
"372",10
"373",14
"374",5
"375",11
"376",2
"377",6
"378",6
"379",1
"380",1
"381",1
"382",1
"383",1
"384",0
"385",4
"386",6
"387",16
"388",2
"389",1
"390",12
"391",0
"392",2
"393",2
"394",1
"395",0
"396",1
"397",2
"398",16
"399",1
"400",2
"401",1
"402",17
"403",2
"404",1
"405",2
"406",2
"407",1
"408",1
"409",1
"410",1
"411",-1
"412",0
"413",0
"414",0
"415",9
"416",9
"417",6
"418",11
"419",13
