"","x"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",7
"7",7
"8",2
"9",1
"10",1
"11",0
"12",2
"13",1
"14",1
"15",2
"16",-1
"17",0
"18",1
"19",1
"20",-1
"21",2
"22",2
"23",3
"24",2
"25",2
"26",2
"27",1
"28",2
"29",2
"30",2
"31",3
"32",1
"33",7
"34",9
"35",7
"36",1
"37",0
"38",1
"39",12
"40",14
"41",2
"42",2
"43",0
"44",2
"45",2
"46",2
"47",0
"48",2
"49",2
"50",3
"51",3
"52",-1
"53",2
"54",2
"55",4
"56",1
"57",3
"58",2
"59",0
"60",12
"61",8
"62",15
"63",1
"64",2
"65",0
"66",1
"67",1
"68",0
"69",1
"70",1
"71",-1
"72",2
"73",1
"74",8
"75",0
"76",1
"77",1
"78",0
"79",11
"80",1
"81",4
"82",1
"83",0
"84",0
"85",2
"86",1
"87",0
"88",1
"89",0
"90",1
"91",0
"92",0
"93",0
"94",7
"95",0
"96",5
"97",0
"98",3
"99",3
"100",2
"101",3
"102",1
